Bird of Sorrow,http://music.163.com/song/media/outer/url?id=17990609.mp3
A.M.,http://music.163.com/song/media/outer/url?id=36492614.mp3
Hero,http://music.163.com/song/media/outer/url?id=17863892.mp3
Home,http://music.163.com/song/media/outer/url?id=28493748.mp3
Turnin',http://music.163.com/song/media/outer/url?id=28859948.mp3
Fifteen,http://music.163.com/song/media/outer/url?id=19292983.mp3
Reality,http://music.163.com/song/media/outer/url?id=32835377.mp3
7 Years,http://music.163.com/song/media/outer/url?id=405599119.mp3
Change,http://music.163.com/song/media/outer/url?id=548097885.mp3
Society,http://music.163.com/song/media/outer/url?id=1304028.mp3
What If,http://music.163.com/song/media/outer/url?id=1217607.mp3
Fearless,http://music.163.com/song/media/outer/url?id=32807006.mp3
Beautiful,http://music.163.com/song/media/outer/url?id=29722661.mp3
Sabotage,http://music.163.com/song/media/outer/url?id=28254071.mp3
In The End,http://music.163.com/song/media/outer/url?id=4153632.mp3
Future Me,http://music.163.com/song/media/outer/url?id=499384296.mp3
Better Off,http://music.163.com/song/media/outer/url?id=16607021.mp3
Only Time,http://music.163.com/song/media/outer/url?id=2530213.mp3
Let Her Go,http://music.163.com/song/media/outer/url?id=18161816.mp3
Love Is Like,http://music.163.com/song/media/outer/url?id=446549155.mp3
Photograph,http://music.163.com/song/media/outer/url?id=28692519.mp3
Come Away,http://music.163.com/song/media/outer/url?id=39122753.mp3
Sutter's Mill,http://music.163.com/song/media/outer/url?id=17245428.mp3
Viva La Vida,http://music.163.com/song/media/outer/url?id=3986017.mp3
Unstoppable,http://music.163.com/song/media/outer/url?id=400876320.mp3
Time Decides,http://music.163.com/song/media/outer/url?id=27946702.mp3
If I Die Young,http://music.163.com/song/media/outer/url?id=4195300.mp3
Big Bad World,http://music.163.com/song/media/outer/url?id=26505367.mp3
Traveling Light,http://music.163.com/song/media/outer/url?id=1491585.mp3
Never Too Late,http://music.163.com/song/media/outer/url?id=28242641.mp3
Heal The World,http://music.163.com/song/media/outer/url?id=21178415.mp3
Can't Complain,http://music.163.com/song/media/outer/url?id=26492802.mp3
Auld Lang Syne,http://music.163.com/song/media/outer/url?id=1146770.mp3
No One But You,http://music.163.com/song/media/outer/url?id=19673369.mp3
I'm Always Here,http://music.163.com/song/media/outer/url?id=33252074.mp3
Ship In The Sand,http://music.163.com/song/media/outer/url?id=26511658.mp3
I¡¯ve Been Blessed,http://music.163.com/song/media/outer/url?id=1502157.mp3
Dream It Possible,http://music.163.com/song/media/outer/url?id=38592976.mp3
Everything Unsaid,http://music.163.com/song/media/outer/url?id=39122747.mp3
Butterfly Fly Away,http://music.163.com/song/media/outer/url?id=3028480.mp3
Trouble Is A Friend,http://music.163.com/song/media/outer/url?id=16607987.mp3
And The Winner Is,http://music.163.com/song/media/outer/url?id=1383639.mp3
Life Is Worth Living,http://music.163.com/song/media/outer/url?id=36586670.mp3
Young And Beautiful,http://music.163.com/song/media/outer/url?id=26243686.mp3
In Between The Lines,http://music.163.com/song/media/outer/url?id=19274539.mp3
Mine (Illenium Remix),http://music.163.com/song/media/outer/url?id=30780496.mp3
Sounds Like Somewhere,http://music.163.com/song/media/outer/url?id=27907499.mp3
Something Just Like This,http://music.163.com/song/media/outer/url?id=470795480.mp3
On a Slow Boat to China,http://music.163.com/song/media/outer/url?id=27591140.mp3
What Are You Waiting For?,http://music.163.com/song/media/outer/url?id=29307037.mp3
Comes and Goes (In Waves),http://music.163.com/song/media/outer/url?id=18015954.mp3
Five Hundred Miles,http://music.163.com/song/media/outer/url?id=27759600.mp3
Go Now,http://music.163.com/song/media/outer/url?id=407185498.mp3
"I'm Not a Girl, Not Yet a Woman",http://music.163.com/song/media/outer/url?id=2187528.mp3
This Thing Is Not Going to Break You,http://music.163.com/song/media/outer/url?id=27630178.mp3
Dance with My Father (Radio Version) - Album Version and Radio Version,http://music.163.com/song/media/outer/url?id=20958597.mp3
